"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"PRPS2:NM_026662",2582.71429205666,0.0560657562289752,0.11544633388018,0.000147040874537145,0.0220318622983666
"ST8SIA4:NM_009183:NM_001159745",2785.33964377207,-0.196707227715845,0.149280327011156,0.000146584937596785,0.0220318622983666
"CDK6:NM_009873",4285.44021003718,0.371803076661362,0.110237206705296,0.000149317880560886,0.0221579120259245
"4930432O21RIK:NM_001025373",298.159282453638,-0.312346789252603,0.232261790328037,0.000150820259886892,0.0221677054365181
"SH2B1:NM_011363:NM_001081459",6503.65749577846,0.26623824574093,0.0975474624252573,0.000153564087879803,0.0223580619646132
"PPP1R16B:NM_153089:NM_001159662",5459.47989575461,0.437137507329941,0.107743142523353,0.000165135415548963,0.0236990271727524
"TMEM108:NM_178638",146.588972968699,-1.25149394386495,0.545225041765672,0.000165845586383545,0.0236990271727524
"AHDC1:NM_146155",4340.44793359438,0.296576338196015,0.103520496752917,0.000173758820611836,0.0246020172339675
"ZYX:NM_011777",19951.9292969711,0.0119775095808585,0.0894102256705081,0.000181293682157101,0.0254355036066412
"NPM1:NM_008722",911.729794967707,-0.09004007754161,0.163890705300286,0.000183606500969394,0.0255279200852311
"NDUFB10:NM_026684",1519.39446040146,-0.497379664507655,0.129836006630667,0.000188402340023631,0.0259608331570062
"KRAS:NM_021284",1587.94931960949,-0.391386175668419,0.153367199460511,0.000196437583493918,0.0261346657419106
"RNF138:NM_019706:NM_207623",1016.15490885738,-0.227327899784965,0.186966484354638,0.000194300201220973,0.0261346657419106
"VPS54:NM_139061",3363.64417419014,-0.177065274231958,0.115412420770023,0.000192973434355063,0.0261346657419106
"ZFP397:NM_027007",1350.46431711371,0.0852274500697817,0.153915493341561,0.000195628227961162,0.0261346657419106
"CD164:NM_016898",8421.74699924291,-0.139953078446453,0.102543928790178,0.000207897647270859,0.0262990523797636
"PPP4R2:NM_182939",934.668861071499,-0.336455443105431,0.152722302996974,0.000206248779509877,0.0262990523797636
"PRKCE:NM_011104",115.891073677988,1.31846632494153,0.373813249876374,0.000205692384302789,0.0262990523797636
"RPE:NM_025683",1469.6989911167,-0.255365935291868,0.130239892913251,0.000205196109907386,0.0262990523797636
"SEPT7:NM_009859",1808.5852155788,-0.226402496352193,0.162299208707449,0.000201317640737854,0.0262990523797636
"SH3PXD2A:NM_008018:NM_001164717",6349.2681681295,-0.113075333883594,0.132198280993255,0.000202411475810774,0.0262990523797636
"NOL8:NM_001081350",499.848076743599,0.0097117272275198,0.217444831109211,0.000216914286233672,0.0272165705645875
"RASAL3:NM_178785",14785.9856087518,0.409290388159822,0.124260908764772,0.000229571184294282,0.0285723555420456
"ZFP422:NM_026057",2001.45305547243,-0.33183565314129,0.122302009280262,0.00023893990960429,0.0295004769993841
"NAA50:NM_028108",2067.84802629512,-0.171206023685417,0.138314603419163,0.0002440572034693,0.0298931335011246
"POLR1A:NM_009088",1681.27333311717,0.308599697562258,0.185834761347289,0.000250617442062262,0.0302170233073976
"RGL2:NM_009059",3785.73997072353,0.374487694684861,0.123668907358324,0.000248827259827741,0.0302170233073976
"AKAP6:NM_198111",62.7410701043618,2.08840574779805,0.536067851960232,0.000257217645886233,0.0305887985708606
"DENND4A:NM_001162917",687.04839395867,-0.767440230756741,0.265771841474145,0.000259027560235009,0.0305887985708606
"FUBP1:NM_057172",2678.85248331637,-0.0196290300482358,0.113373520498997,0.000259647029921774,0.0305887985708606
"MBNL1:NM_020007",14670.5486545459,-0.264845470752409,0.163748279270912,0.000271810419626632,0.0317791682280137
"DGKA:NM_016811",8905.20183940097,0.284448969465852,0.0997224479281024,0.000282119331461979,0.0326593304126377
"SYTL2:NM_031394:NM_001040085:NM_001040086:NM_001040087:NM_001040088",2612.02726503272,-0.840650222415024,0.212145368427168,0.000283570937296277,0.0326593304126377
"GALNT10:NM_134189",3272.03253896239,0.362109457359426,0.136085359523875,0.000295761240957098,0.0335623767036095
"ZFP219:NM_027248",4645.15585941189,0.179114479422186,0.105445780258099,0.000294506888620078,0.0335623767036095
"BIRC6:NM_007566",14196.4844038715,0.159664321549227,0.0940275573173419,0.000314877524187884,0.0354708381809607
"CAPRIN1:NM_001111290:NM_001111289:NM_016739:NM_001111292:NM_001111291",10549.5689027513,-0.0289787805541404,0.0963693762260281,0.000342439589911129,0.0382961608050612
"ISY1:NM_133934",1444.54539508297,-0.621489896933681,0.196658272665453,0.000370602495565171,0.0409834589661532
"PLEKHO2:NM_153119",4098.24186490052,0.083146156568223,0.104601503848876,0.00037178022777564,0.0409834589661532
"ARHGAP4:NM_001162424:NM_138630:NM_001162423",5788.33871610804,0.148254533259751,0.0991783839389981,0.000391029311431797,0.0427996834278505
"HISPPD1:NM_173760",1620.61047158639,-0.114122776260234,0.131762975198758,0.000403743793394431,0.0438801265032131
"LYSMD3:NM_030257",923.606982823362,-0.188360353913177,0.158307603642035,0.000417722398721941,0.0443661340071908
"SERP1:NM_030685",4694.17594821472,-0.217282301927908,0.106162782166484,0.00042145120813478,0.0443661340071908
